Date,Artist,Song Name,Song Korean Name,Song Type
3/23/2022,Minimani,Puo Puo,콸콸콸,Major
3/22/2022,ITZY,Voltage,,Japanese
3/21/2022,Red Velvet,Feel My Rhythm,필 마이 리듬,Major
3/21/2022,Rolling Quartz,Azalea,,Major
3/17/2022,Oh My Girl,Dolphin Japanese ver.,,Japanese
3/17/2022,CRAXY,Trigger,,Minor
3/14/2022,(G)I-DLE,Tomboy,톰보이,Major
3/14/2022,Brave Girls,Thank You,생큐,Major
3/11/2022,Rumble-G,Dear Hope,디어호프,Major
3/7/2022,Weeekly,Ven Para,,Major
3/7/2022,Rolling Quartz,Delight,,Minor
3/2/2022,Cherry Bullet,Love in Space,,Major
3/1/2022,Twice,Scientist -Japansese ver.-,,Japanese
2/28/2022,Rocket Punch,Chiquita,치키타,Major
2/24/2022,CRAXY,Dance with God,,Major
2/23/2022,Billlie,GingaMingaYo (the strange world),긴가민가요,Major
2/22/2022,NMIXX,O.O,,Major
2/21/2022,STAYC,RUN2U,,Major
2/17/2022,M.I.L.K.,Come To Me (Remaster),,Major
2/16/2022,Rumble-G,Every Other,에브리아더,Major
2/14/2022,Apink,Dilemma,,Major
2/14/2022,Rocking Doll,Heart Rider,,Major
2/9/2022,VIVIZ,BOP BOP!,,Major
2/8/2022,Rolling Quartz,Good Night,,Special
1/24/2022,NATURE,Rica Rica,,Major
1/21/2022,Sunny Hill,Hold me Again,안녕이란 말 대신,Minor
1/17/2022,fromis_9,DM,,Major
1/14/2022,MOMOLAND,Yummy Yummy Love X Natti Natasha,,Major
1/5/2022,H1-KEY,Athletic Girl,애슬레틱 걸,Major
1/5/2022,WJSN Chocome,Supper Yuppers!,슈퍼 그럼요,Major
1/3/2022,Kep1er,WA DA DA,와다다,Major
12/28/2021,Oh My Girl,Shark,,Minor
12/22/2021,Hyolyn,A-ha,아하,Major
12/20/2021,aespa,Dreams Come True (Remake),,Minor
12/19/2021,Rocking doll,Rocking Doll,,Major
12/18/2021,Purple Kiss,My My,,Minor
12/16/2021,TRI.BE,The Bha Bha Song (We Baby Bears Theme),,Minor
12/14/2021,Billlie,Snowy Night,,Minor
12/12/2021,Minzy,Fantabulous,기깔나,Major
12/9/2021,Hi-L,Beautiful Night,아름다운 밤,Major
12/6/2021,Xdinary Heroes,Happy Death Day,,Major
12/3/2021,Twice,Doughnut,,Japanese
12/1/2021,ITZY,LOCO -Japanese ver.-,,Japanese
12/1/2021,IVE,Eleven,일레븐,Major
12/1/2021,Everglow,Pirate,파일럿,Major
11/30/2021,cignature,Boyfriend,,Major
11/18/2021,Weki Meki,Siesta,,Major
11/15/2021,T-ara,Tiki Taka,티키타카,Major
11/12/2021,Twice,Scientist,사이언티스트,Major
11/11/2021,lilli lilli,BARCODE,,Major
11/11/2021,ICHILLIN',Fresh,,Major
11/11/2021,S.E.S,Dreams Come True (Remaster),,Special
11/10/2021,Billlie,RING X RING,링 바이 링,Major
11/3/2021,LABOUM,Kiss Kiss,,Major
10/31/2021,ITZY,WANNABE -Japanese ver.-,,Japanese
10/31/2021,Oh My Girl,My Doll,"나의 인형 (안녕, 꿈에서 놀아)",Special
10/30/2021,Pixy,Bewitched (Eng Ver.),,English
10/27/2021,SECRET NUMBER,Fire Saturday,불토,Major
10/27/2021,CL,Let It,,Major
10/26/2021,Dreamnote,Ghost,,Major
10/25/2021,bugAboo,bugAboo,버가부,Major
10/21/2021,Pixy,Moonlight,,Minor
10/20/2021,CL,Tie a Cherry,,Major
10/18/2021,IU,strawberry moon,,Major
10/18/2021,Davichi,First Loss,나의 첫사랑,Major
10/14/2021,Blackswan,Close to Me,,Major
10/13/2021,Lightsum,Vivace,,Major
10/12/2021,TRI.BE,Would You Run,,Major
10/11/2021,Sunmi,Go or Stop?,,CF
10/7/2021,CRAXY,Gaia,가이아,Major
10/6/2021,Pixy,Addicted,중독,Major
10/5/2021,aespa,Savage,세비지,Major
10/1/2021,Twice,The Feels,,English
9/29/2021,HOT ISSUE,Icons,,Major
9/28/2021,Mamamoo,mumumumuch -Japanese ver.-,,Japanese
9/26/2021,ITZY,Swipe,,Minor
9/24/2021,ITZY,Loco,,Major
9/24/2021,Pixy,Still With Me,,Special
9/23/2021,CRAXY,Craxy's Theme,,Minor
9/16/2021,Diawings,More and More,,Major
9/15/2021,Mamamoo,mumumumuch,하늘 땅 바다만큼,Major
9/9/2021,Mamamoo,Don't be Happy 2021,,Minor
9/8/2021,Purple Kiss,Zombie,,Major
9/8/2021,ICHILLIN',Got'ya,,Major
9/6/2021,STAYC,Stereotype,색안경,Major
9/1/2021,fromis_9,Talk & Talk,,Major
8/31/2021,Pritti-G,Hola,안녕,Major
8/23/2021,Brave Girls,After We Ride,술버릇 (운전만해 그후),Major
8/18/2021,Poshgirls,Got Chu,,Major
8/16/2021,Red Velvet,Queendom,,Major
8/12/2021,Makamaka,Hey U,헤이유,Major
8/10/2021,"Hyolyn, Dasom",Summer or Summer,둘 중에 골라,Major
7/30/2021,Dreamcatcher,BEcause,비커즈,Major
7/14/2021,Rumble-G,Roopretelcham,루프리텔캄,Major
7/13/2021,Rocket Punch,Bubble Up!,,Japanese
7/13/2021,BLACKPINK,Lovesick Girls - JP Ver.-,,Japanese
7/7/2021,GIRLKIND,Good Vibes Only,이 분위기에 취해,Major
