Artist,Artist_Id,Album_Name,Album_Id,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
H.O.T.,5JrfgZAgqAMywJpLpJM0eS,FOREVER 2001 LIVE CONCERT,697cPaD568S5Zt4bgo4cQf,Opening - Live,6KOn7RweqUBSZWoKKkHFRb,0.209,0.963,6,-12.9,0,0.133,8.99E-05,0.913,0.322,0.0829,131.864,90333,4
H.O.T.,5JrfgZAgqAMywJpLpJM0eS,FOREVER 2001 LIVE CONCERT,697cPaD568S5Zt4bgo4cQf,I yah! - Live,1khANf67sdS8kUkjmF218J,0.397,0.901,4,-6.97,1,0.285,0.0665,0,0.888,0.258,171.944,278333,4
H.O.T.,5JrfgZAgqAMywJpLpJM0eS,FOREVER 2001 LIVE CONCERT,697cPaD568S5Zt4bgo4cQf,Git It Up! / 전사의 후예 / You Got Gun - Live,4XkT2bHdbHMPukCpj7mXPJ,0.542,0.913,1,-7.763,1,0.241,0.108,0.000315,0.89,0.377,97.051,320533,4
H.O.T.,5JrfgZAgqAMywJpLpJM0eS,FOREVER 2001 LIVE CONCERT,697cPaD568S5Zt4bgo4cQf,Opening Ment - Live,65a4TY00ChiawzHVH4xcDO,0.436,0.666,10,-14.143,0,0.632,0.925,0.000267,0.855,0.08,107.013,284427,5
H.O.T.,5JrfgZAgqAMywJpLpJM0eS,FOREVER 2001 LIVE CONCERT,697cPaD568S5Zt4bgo4cQf,It's Been Raining Since You Left Me / Delight - Live,3vYZaL9lMZ1uKURbcEq4Jz,0.366,0.778,7,-9.239,0,0.0714,0.164,0.000214,0.891,0.404,99.995,278667,4
H.O.T.,5JrfgZAgqAMywJpLpJM0eS,FOREVER 2001 LIVE CONCERT,697cPaD568S5Zt4bgo4cQf,N.B.K.(Natural Born Killer) - Live,7H9Y6xJsNQLaPLw3COdgo5,0.667,0.914,1,-8.073,1,0.0873,0.0517,0,0.867,0.494,110.037,227067,4
H.O.T.,5JrfgZAgqAMywJpLpJM0eS,FOREVER 2001 LIVE CONCERT,697cPaD568S5Zt4bgo4cQf,Time Will Tell - Live,4xnlCh34wSnw2JbRRYWqBH,0.702,0.768,10,-8.454,0,0.177,0.491,0,0.811,0.531,96.979,266173,4
H.O.T.,5JrfgZAgqAMywJpLpJM0eS,FOREVER 2001 LIVE CONCERT,697cPaD568S5Zt4bgo4cQf,Livin' La Vida Loca (Tony Special) - Live,2lyftOm9r45ja4MC7nXWXc,0.464,0.918,1,-7.74,0,0.0738,0.000617,0,0.824,0.611,177.882,244160,4
H.O.T.,5JrfgZAgqAMywJpLpJM0eS,FOREVER 2001 LIVE CONCERT,697cPaD568S5Zt4bgo4cQf,Only You (KANGTA Solo) - Live,0r3yOoI5592LzWuBGIntBH,0.38,0.524,3,-9.068,1,0.0388,0.86,0.000148,0.16,0.226,76.602,167507,4
H.O.T.,5JrfgZAgqAMywJpLpJM0eS,FOREVER 2001 LIVE CONCERT,697cPaD568S5Zt4bgo4cQf,Right Here Waiting (KANGTA Solo) - Live,7hvqkt1HOjO1VQiTsBQsPz,0.463,0.421,0,-8.005,1,0.0247,0.548,1.59E-06,0.651,0.178,86.608,270333,4
