Artist Name,Artist short name,Debut Date
(G)I-DLE,,5/2/2018
15&,,10/5/2012
2EYES,,7/20/2013
2NE1,,5/6/2009
3YE,,5/21/2019
4Minute,,6/15/2009
4TEN,,8/26/2014
9Muses,Nine Muses,8/12/2010
A.DE,,7/23/2016
ABRY,,11/15/2017
aespa,æspa,11/17/2020
After School,,1/15/2009
AiRiSu,,7/25/2018
ANS,,9/16/2019
AOA,,7/30/2012
API,,4/19/2019
Apink,,4/19/2011
Apple.B,,8/1/2017
April,,8/24/2015
AREAL,,8/21/2020
Ariaz,,10/23/2019
Baby V.O.X,,7/5/1997
Badkiz,,3/24/2014
Berry Good,,5/21/2014
BESTie,,7/11/2013
Billlie,,11/10/2021
BLACKPINK,,8/8/2016
BlackSwan,,10/16/2020
Blady,,5/16/2011
Blastar,,7/31/2020
Bling Bling,,11/17/2020
Bloomy,,2/1/2016
Bob Girls,,6/10/2014
Bolbbalgan4,BOL4,4/22/2016
Bonus Baby,,1/1/2017
BOTOPASS,,8/26/2020
Brave Girls,,4/8/2011
Brown Eyed Girls,B.E.G.,3/2/2006
bugAboo,,10/25/2021
Bulldok,,10/20/2016
Busters,,11/27/2017
BVNDIT,,4/10/2019
C-REAL,,10/11/2011
Camila,,8/29/2018
Cherry Bullet,,1/21/2019
Cherry On Top,,8/9/2018
ChoColat,,8/16/2011
cignature,,2/4/2020
CLC,,3/19/2015
CoCoSoRi,,1/5/2016
CRAXY,,3/3/2020
Crayon Pop,,7/17/2012
D-Unit,,8/1/2012
D.Holic,,10/29/2014
Dal Shabet,,1/3/2011
Davichi,,2/4/2008
Destiny,,9/28/2018
DIA,,7/14/2015
Dorothy,,8/16/2016
DreamCatcher,,1/13/2017
Dreamnote,,11/7/2018
ELRIS,,7/1/2017
Episode,,2/4/2020
Everglow,,3/18/2019
EvoL,,8/10/2012
EXID,,2/16/2012
f(x),,8/24/2009
F-ve Dolls,5Dolls,1/20/2011
FANATICS,,8/6/2019
Favorite,,7/5/2017
Fiestar,,8/31/2012
FLAVOR,,11/26/2018
fromis_9,,1/24/2018
G-reyish,Greyish,6/1/2017
Gavy NJ,,11/11/2005
Gawi Bawi Bo,GBB,5/1/2018
GeeGu,,10/26/2017
Gfriend,,1/15/2015
GI,Global Icon,4/3/2013
Girl's Day,GsD,7/9/2010
Girlkind,,1/16/2018
Girls Girls,,12/9/2015
Girls' Generation,SNSD,8/5/2007
GLAM,,7/16/2012
Good Day,,8/30/2017
GP Basic,,3/18/2011
GsA,Girls' Alert,5/25/2017
Gugudan,,6/28/2016
GWSN,,9/5/2018
H.U.B,HUB,2/9/2017
H1-KEY,,1/5/2022
Hash Tag,Hashtag,10/11/2017
Hello Venus,HV,5/9/2012
Heygirls,,11/20/2017
Hi Cutie,,10/12/2017
Hi-L,,8/11/2021
HighSchool,,4/30/2019
Highteen,,10/14/2016
Hinapia,,11/3/2019
Hint,,3/31/2017
Honey Popcorn,,3/21/2018
I.C.E,,11/16/2015
ICHILLIN',,9/8/2021
ICU,,10/22/2019
ILUV,I LUV,4/30/2019
ILY:1,,4/4/2022
IOI,I.O.I,5/4/2016
ITZY,,2/12/2019
IVE,,12/1/2021
IZ*ONE,IZONE,10/29/2018
Jewelry,,3/30/2001
KARA,,3/29/2007
KEEMBO,,4/10/2020
Kep1er,,3/1/2022
KHAN,,5/23/2018
Kitten Girls,,9/4/2018
Laboum,,8/27/2014
Ladies' Code,LC,3/7/2013
LIGHTSUM,,6/10/2021
LipBubble,,3/22/2017
Loona,LOOΠΔ,8/20/2018
Lovelyz,,11/17/2014
LUNARSOLAR,,9/2/2020
Lusty,,6/26/2019
MAJORS,,3/9/2021
Maka Maka,,8/4/2020
Mamamoo,,6/18/2014
Marmello,,5/24/2017
Matilda,,3/18/2016
Melody Day,,2/25/2014
Melody Pink,,9/25/2019
Minx,,9/18/2014
miss A,,7/1/2010
Mixx,,5/2/2016
Momoland,,11/9/2016
myB,,8/25/2015
Nature,,8/3/2018
NeonPunch,,6/27/2018
NMIXX,,2/22/2022
O21,,6/21/2016
Oh My Girl,OHMG,4/21/2015
OhBliss,,10/17/2016
P.O.P,,7/26/2017
Pink Fantasy,,10/28/2018
PIXY,,2/24/2021
Playback,,6/25/2015
Precious,PRCS,9/23/2020
PRISMA,,10/31/2020
Pristin,,3/21/2017
PRITTI-G,,8/31/2021
Pungdeng-E,,12/11/2013
Purple Kiss,,3/15/2021
PURPLEBECK,,6/24/2019
Rainbow,,11/12/2009
Rania,,4/6/2011
Red Velvet,RV,8/1/2014
REDSQUARE,RSQ,5/19/2020
Rocket Punch,,8/7/2019
Rockit Girl,,5/30/2019
Rose Finger,,10/3/2018
Rubber Soul,,2/10/2015
Rumble-G,,7/14/2021
S.E.S,,11/1/1997
S.I.S,,8/25/2017
Saturday,,7/18/2018
SECRET,,10/13/2009
SECRET NUMBER,,5/19/2020
Sha Sha,,2/27/2018
SISTAR,,3/6/2010
SKYLE,,8/4/2021
Solia,,8/17/2021
Sonamoo,,12/29/2014
SPICA,,2/7/2012
STAYC,,11/12/2020
Stellar,,8/28/2011
Sunny Hill,,9/20/2007
T-ara,,7/29/2009
Tahiti,,6/23/2012
The Grace,CSJH,4/29/2005
Tiny-G,,8/23/2012
TRACER,,4/3/2022
TRI.BE,,2/17/2021
TWICE,,10/20/2015
Two X,,8/20/2012
Uni.T,,5/18/2018
Unicorn,,9/3/2015
VIVIZ,,2/9/2022
Wable,,2/17/2016
Wanna.B,,11/17/2014
Wassup,,8/7/2013
We Girls,,8/31/2018
Weeekly,,7/30/2020
Weki Meki,WeMe,8/8/2017
WJSN,Cosmic Girls,2/25/2016
Wonder Girls,WG,2/13/2007
woo!ah!,,5/15/2020
XUM,,9/22/2020
Yellow Bee,,11/23/2017
100%,,9/18/2012
14U,,4/17/2017
1TEAM,,3/27/2019
1the9,,2/9/2019
24K,,9/6/2012
2AM,,6/21/2008
2PM,,7/4/2008
2Z,Tuzi,1/14/2020
8Eight,,9/6/2007
A-JAX,,6/1/2012
A.C.E,ACE,5/23/2017
A.cian,,10/10/2012
A6P,,5/20/2015
AB6IX,,5/22/2019
AlphaBat,,11/14/2013
ARGON,,3/11/2019
ASTRO,,2/23/2016
ATEEZ,,10/24/2018
AWEEK,,1/31/2019
B.A.P,BAP,1/27/2012
B.Heart,,1/25/2017
B.I.G,,7/9/2014
B.O.Y,,1/20/2020
B1A4,,4/19/2010
BAE173,,11/19/2020
Be.A,,5/25/2017
Beatwin,,1/6/2014
BIGBANG,,8/19/2006
Bigflo,,7/19/2014
BIGSTAR,,7/12/2012
BLACK6IX,,4/7/2017
Blanc7,,3/3/2017
BLITZERS,,5/12/2021
BLK,,11/28/2017
Block B,,4/15/2011
Boyfriend,,5/26/2011
Boys Republic,,6/3/2013
BtoB,,3/21/2012
BTS,Bangtan Boys,6/13/2013
BXK,Boys X King,11/2/2020
C-Clown,,6/19/2012
CICI,,6/27/2019
Ciipher,,3/15/2021
CIX,,7/23/2019
CNBLUE,,1/14/2010
CRAVITY,,4/14/2020
CROSS GENE,,7/8/2012
D-Crunch,,8/6/2018
D.COY,,2/19/2020
D1CE,,8/1/2019
Dalmatian,DMTN,9/1/2010
DAY6,,9/7/2015
DKB,Darkbee,2/3/2020
DONGKIZ,,4/24/2019
DRIPPIN,,10/26/2020
Dustin,,1/6/2020
E'LAST,,6/9/2020
ENHYPEN,,11/30/2020
ENOi,,4/19/2019
EPEX,,6/8/2021
EXO,,4/8/2012
F.able,,6/4/2020
Fly to the Sky,,11/21/1999
FTISLAND,,6/7/2007
g.o.d.,,1/26/1999
Ghost9,,9/23/2020
Golden Child,,8/28/2017
GOT7,,1/16/2014
GreatGuys,,8/25/2017
H.B.Y,Hot Blood Youth,8/16/2017
H.O.T,,9/7/1996
HALO,,7/26/2014
